lng,lat
1.58,42.55
54.33,23.91
66.03,33.83
-61.8,17.27
20.06,41.13
44.94,40.29
17.55,-12.3
-65.17,-35.39
14.14,47.59
16.52,47.54
13.92,46.77
15.75,48.27
13.97,48.14
13.08,47.39
15.01,47.27
11.5,47.19
9.9,47.24
16.38,48.21
134.49,-25.73
149,-35.49
147.01,-32.17
133.37,-19.42
144.55,-22.57
135.83,-30.11
146.62,-41.97
144.3,-36.85
122.18,-25.47
47.52,40.3
17.79,44.17
-59.56,13.17
90.28,23.83
4.66,50.64
4.37,50.84
4.37,50.84
4.24,51.04
4.72,51.23
4.59,50.87
5.43,50.99
3.82,51.04
3.06,51.01
5.01,50.31
4.58,50.67
3.96,50.47
5.74,50.52
5.51,49.96
4.85,50.26
-1.75,12.27
25.23,42.76
50.56,26.05
29.92,-3.33
2.34,9.66
114.75,4.52
-64.65,-16.71
-53.07,-10.77
-70.47,-9.21
-36.62,-9.51
-64.65,-4.16
-51.95,1.44
-41.73,-12.47
-39.62,-5.09
-47.8,-15.78
-40.67,-19.57
-49.62,-16.04
-45.29,-5.08
-44.67,-18.46
-54.85,-20.33
-55.91,-12.95
-53.07,-3.97
-36.83,-7.12
-38,-8.33
-42.97,-7.39
-51.63,-24.63
-42.66,-22.2
-36.67,-5.84
-62.84,-10.91
-61.39,2.08
-53.25,-29.75
-50.49,-27.25
-37.44,-10.58
-48.73,-22.26
-48.33,-10.15
-76.54,24.2
90.45,27.4
23.81,-22.19
28.05,53.54
-88.7,17.21
-98.34,61.49
-98.34,61.49
-114.51,55.17
-124.76,54.76
-97.44,54.93
-66.38,46.62
-60.51,52.89
-63.33,45.15
-119,66.36
-88.87,71.02
-86.07,50.44
-63.25,46.39
-71.78,53.38
-105.89,54.42
-135.51,63.63
23.6,-2.86
20.49,6.57
15.22,-0.84
8.24,46.8
8.16,47.41
9.42,47.32
9.37,47.37
7.62,46.82
7.7,47.45
7.62,47.56
7.07,46.72
6.12,46.21
9.07,46.98
9.63,46.66
7.16,47.35
8.11,47.07
6.78,47
8.41,46.93
8.24,46.85
9.27,47.23
8.59,47.71
7.64,47.3
8.76,47.06
9.06,47.56
8.81,46.3
8.63,46.77
6.67,46.58
7.61,46.21
8.54,47.16
8.66,47.41
-5.55,7.62
-71.39,-37.98
12.75,5.69
103.74,36.48
117.23,31.83
116.41,40.19
107.87,30.06
117.99,26.07
113.42,23.34
100.6,37.88
108.79,23.83
106.87,26.82
113.61,33.88
112.27,30.98
116.14,39.55
109.75,19.19
127.75,47.87
111.71,27.61
126.19,43.67
119.47,32.97
115.72,27.61
122.6,41.29
113.92,44.09
106.16,37.27
96.04,35.67
102.69,30.63
118.16,36.35
121.48,31.21
108.87,35.19
112.29,37.57
117.33,39.29
85.18,41.12
88.12,31.69
101.49,24.97
120.1,29.18
-73.08,3.91
-84.2,9.97
-79.03,21.63
-23.98,15.95
33.22,35.06
15.33,49.74
14.47,50.07
14.55,50
14.43,49.09
13.23,49.6
12.75,50.17
13.85,50.53
15,50.7
15.87,50.38
16.19,49.9
15.67,49.41
16.64,49.08
17.19,49.78
17.75,49.22
17.98,49.82
10.39,51.11
13.4,52.47
13.4,52.5
9.05,48.55
11.42,48.95
8.75,53.2
9.03,50.6
10.01,53.55
12.54,53.75
9.16,52.77
7.56,51.48
7.45,49.91
9.81,54.19
6.95,49.38
13.35,51.05
11.7,52.01
11.02,50.9
42.58,11.74
10.05,55.96
-61.35,15.43
-70.5,18.9
2.68,28.15
-78.77,-1.43
25.55,58.67
29.86,26.52
-12.1,24.24
38.84,15.38
-3.65,40.23
-4.57,37.46
-0.66,41.52
-5.99,43.29
-4.03,43.2
-5.34,35.89
-4.78,41.75
-3,39.58
-15.67,28.34
1.53,41.8
-6.15,39.19
-7.91,42.76
2.91,39.57
-1.49,38
-3.72,40.5
-2.95,35.29
-1.65,42.67
-2.62,43.04
-2.52,42.27
-0.55,39.4
39.62,8.64
26.22,64.47
162.53,-17.45
0.32,40.48
5.35,46.1
3.19,46.39
4.43,44.75
2.67,45.05
5.17,44.69
5.57,45.26
4.16,45.73
3.81,45.13
3.14,45.73
4.6,45.89
6.44,45.48
6.43,46.03
4.77,47.43
6.36,47.17
5.7,46.73
3.5,47.12
6.09,47.64
4.54,46.64
3.56,47.84
6.93,47.63
-2.86,48.44
-4.06,48.26
-1.64,48.16
-2.81,47.85
8.99,41.86
9.21,42.39
2.49,47.07
1.37,48.39
1.58,46.78
0.69,47.26
1.43,47.62
2.34,47.91
4.64,49.62
4.16,48.3
4.24,48.95
5.23,48.11
6.16,48.79
5.38,48.99
6.66,49.04
7.55,48.67
7.27,47.86
6.38,48.2
3.56,49.56
3.22,50.45
2.43,49.41
2.29,50.49
2.28,49.96
2.34,48.86
2.93,48.63
1.84,48.82
2.24,48.52
2.25,48.85
2.48,48.92
2.47,48.78
2.13,49.08
0.2,45.72
-0.68,45.78
1.88,45.36
2.02,46.09
0.74,45.1
-0.58,44.82
-0.78,43.97
0.46,44.37
-0.76,43.26
-0.32,46.56
0.46,46.56
1.23,45.89
-0.36,49.1
1,49.11
-1.33,49.08
0.13,48.62
1.03,49.65
1.5,42.92
2.41,43.1
2.68,44.28
4.18,43.99
1.17,43.36
0.45,43.69
3.37,43.58
1.61,44.62
3.5,44.52
0.16,43.05
2.52,42.6
2.17,43.79
1.28,44.09
6.24,44.11
6.27,44.66
7.12,43.94
5.09,43.54
6.24,43.44
5.18,44.01
-1.68,47.36
-0.56,47.39
-0.66,48.15
0.22,47.99
-1.3,46.67
2.55,46.56
4.54,45.51
4.81,47.23
-2.84,48.18
9.11,42.15
1.68,47.48
5.61,48.69
2.77,49.97
2.5,48.71
0.21,45.21
0.11,49.12
2.14,43.7
6.06,43.96
-0.82,47.48
11.79,-0.6
-2.89,54.15
-4.18,56.84
-61.66,12.15
43.51,42.18
-53.24,3.92
-1.21,7.96
-41.29,74.75
-15.43,13.45
-10.93,10.44
-61.54,16.2
10.34,1.7
22.99,39.05
-90.36,15.7
-14.98,12.01
-58.98,4.79
114.13,22.38
-86.61,14.82
16.4,45.04
-72.69,18.94
19.41,47.17
18.21,46.04
21.01,46.73
19.38,46.57
19.11,47.48
20.97,48.2
20.24,46.43
18.54,47.13
17.28,47.64
21.46,47.47
20.19,47.79
20.42,47.26
18.31,47.61
19.52,47.99
19.36,47.41
17.61,46.45
22.08,47.99
18.54,46.51
16.75,47.15
17.64,47.13
16.89,46.69
117.28,-2.23
-8.15,53.18
-9.03,52.85
-7.35,53.99
-8.84,51.92
-6.82,52.73
-6.28,53.39
-7.9,54.92
-8.95,53.36
-6.82,53.19
-7.23,52.57
-9.72,52.11
-7.73,53.71
-6.41,53.91
-8.74,52.49
-8.02,54.14
-7.36,52.98
-6.73,53.63
-6.92,54.16
-9.38,53.92
-7.6,53.21
-8.25,53.72
-8.62,54.16
-7.96,52.64
-7.6,52.17
-7.44,53.53
-6.37,52.98
-6.57,52.46
35.01,31.45
79.64,22.89
92.95,11.25
79.96,15.75
94.7,28.04
92.83,26.36
85.61,25.68
76.78,30.73
82.04,21.27
77.11,28.64
73.07,20.2
74.05,15.36
71.63,22.68
77.24,31.93
76.34,29.2
85.56,23.66
75.11,33.56
76.17,14.71
76.41,10.45
77.58,33.97
72.95,10.48
76.11,19.45
91.28,25.53
93.88,24.74
78.29,23.54
